,tweet_id,retweet_count,favorite_count
0,892420643555336193,7352,35010
1,892177421306343426,5481,30321
2,891815181378084864,3624,22802
3,891689557279858688,7535,38278
4,891327558926688256,8120,36556
5,891087950875897856,2716,18438
6,890971913173991426,1758,10727
7,890729181411237888,16479,58953
8,890609185150312448,3770,25375
9,890240255349198849,6382,28956
10,890006608113172480,6408,27921
11,889880896479866881,4346,25385
12,889665388333682689,8739,43588
13,889638837579907072,3900,24505
14,889531135344209921,1969,13812
15,889278841981685760,4642,22872
16,888917238123831296,3913,26482
17,888804989199671297,3704,23248
18,888554962724278272,3012,17925
19,888078434458587136,3034,19824
20,887705289381826560,4716,27558
21,887517139158093824,10275,42150
22,887473957103951883,15691,62367
23,887343217045368832,9206,30589
24,887101392804085760,5209,27885
25,886983233522544640,6665,31577
26,886736880519319552,2767,10861
27,886680336477933568,3910,20452
28,886366144734445568,2762,19194
29,886267009285017600,3,107
30,886258384151887873,5521,25437
31,886054160059072513,96,0
32,885984800019947520,5862,29606
33,885528943205470208,5581,32679
34,885518971528720385,3262,18624
35,885311592912609280,16142,0
36,885167619883638784,3821,19902
37,884925521741709313,15766,69890
38,884876753390489601,4882,25287
39,884562892145688576,4098,22095
40,884441805382717440,4976,24675
41,884247878851493888,17736,65809
42,884162670584377345,2615,18554
43,883838122936631299,2983,19862
44,883482846933004288,8626,41659
45,883360690899218434,3214,20622
46,883117836046086144,5793,33705
47,882992080364220416,3388,21720
48,882762694511734784,4265,25671
49,882627270321602560,5289,25490
50,882268110199369728,10101,40680
51,882045870035918850,4246,26644
52,881906580714921986,2973,22158
53,881666595344535552,9331,46095
54,881633300179243008,8,114
55,881536004380872706,13992,44979
56,881268444196462592,4645,21189
57,880935762899988482,2441,15560
58,880872448815771648,3337,19380
59,880465832366813184,5433,25869
60,880221127280381952,3629,24503
61,880095782870896641,3803,25135
62,879862464715927552,3046,20376
63,879674319642796034,10,288
64,879492040517615616,2770,21398
65,879415818425184262,39047,96129
66,879376492567855104,2742,15354
67,879130579576475649,5976,0
68,879050749262655488,4127,20527
69,879008229531029506,2343,17325
70,878776093423087618,3598,17671
71,878604707211726852,6189,27375
72,878404777348136964,1117,0
73,878316110768087041,5798,0
74,878281511006478336,1117,7025
75,878057613040115712,5976,38361
76,877736472329191424,16586,71980
77,877611172832227328,71,0
78,877556246731214848,3322,20675
79,877316821321428993,4569,25012
80,877201837425926144,4867,24676
81,876838120628539392,2926,18864
82,876537666061221889,4130,21700
83,876484053909872640,2081,17137
84,876120275196170240,4086,25559
85,875747767867523072,3755,22922
86,875144289856114688,4305,20015
87,875097192612077568,5352,25072
88,875021211251597312,4150,23319
89,874680097055178752,4081,25418
90,874434818259525634,12773,0
91,874296783580663808,3636,23813
92,874057562936811520,3512,20786
93,874012996292530176,8992,31215
94,873580283840344065,3469,22171
95,873337748698140672,1394,0
96,873213775632977920,1394,6550
97,872967104147763200,4765,24924
98,872820683541237760,3287,13509
99,872620804844003328,3217,18993
100,872486979161796608,8043,37330
101,872122724285648897,7166,31352
102,871879754684805121,9662,34349
103,871762521631449091,3080,18516
104,871515927908634625,3070,18506
105,871166179821445120,5067,0
106,871102520638267392,4883,19191
107,871032628920680449,3373,20867
108,870804317367881728,5478,30850
109,870726314365509632,3,112
110,870656317836468226,2306,11270
111,870374049280663552,23691,76459
112,870308999962521604,3682,20133
113,870063196459192321,7384,33536
114,869772420881756160,9052,39213
115,869702957897576449,5597,25913
116,869596645499047938,2765,14696
117,869227993411051520,3349,18781
118,868880397819494401,12820,60067
119,868639477480148993,1832,0
120,868622495443632128,4710,24474
121,868552278524837888,1832,9279
122,867900495410671616,3739,22331
123,867774946302451713,6550,31321
124,867421006826221569,2226,14812
125,867072653475098625,106,0
126,867051520902168576,7064,29701
127,866720684873056260,4306,18444
128,866686824827068416,3097,17763
129,866450705531457537,31599,112735
130,866334964761202691,12773,48273
131,866094527597207552,7508,0
132,865718153858494464,5057,23768
133,865359393868664832,4495,24450
134,865006731092295680,6955,25914
135,864873206498414592,7815,29821
136,864279568663928832,2709,13514
137,864197398364647424,7937,27699
138,863907417377173506,3737,19113
139,863553081350529029,3784,14124
140,863471782782697472,2177,0
141,863432100342583297,4736,22040
142,863427515083354112,84,2029
143,863079547188785154,1005,8152
144,863062471531167744,2177,7805
145,862831371563274240,4640,17790
146,862722525377298433,3215,15879
147,862457590147678208,4447,18931
148,862096992088072192,20913,68732
149,861383897657036800,9705,33511
150,861288531465048066,3745,15941
151,861005113778896900,3465,15520
152,860981674716409858,1936,0
153,860924035999428608,710,0
154,860563773140209665,1936,6964
155,860524505164394496,4803,22016
156,860276583193509888,3201,17144
157,860184849394610176,5330,15499
158,860177593139703809,28056,0
159,859924526012018688,3728,18286
160,859851578198683649,3210,14421
161,859607811541651456,1410,17411
162,859196978902773760,27453,83654
163,859074603037188101,12472,31518
164,858860390427611136,7406,0
165,858843525470990336,3171,14600
166,858471635011153920,4455,20173
167,858107933456039936,2644,14738
168,857989990357356544,2365,15032
169,857746408056729600,9748,31987
170,857393404942143489,1499,5514
171,857263160327368704,4146,18845
172,857214891891077121,16,210
173,857062103051644929,154,0
174,857029823797047296,3656,17664
175,856543823941562368,2656,15378
176,856526610513747968,1735,11170
177,856330835276025856,615,0
178,856288084350160898,15,488
179,856282028240666624,5801,26069
180,855862651834028034,22,313
181,855860136149123072,894,4601
182,855857698524602368,1948,11201
183,855851453814013952,16748,43259
184,855818117272018944,5021,25135
185,855459453768019968,7610,28063
186,855245323840757760,5510,0
187,855138241867124737,39,0
188,854732716440526848,5620,21458
189,854482394044301312,6318,27563
190,854365224396361728,4352,17833
191,854120357044912130,6937,30251
192,854010172552949760,2924,15371
193,853760880890318849,5360,27047
194,853639147608842240,9306,32771
195,853299958564483072,3307,14682
196,852936405516943360,1853,0
197,852912242202992640,1679,8538
198,852672615818899456,2016,14162
199,852553447878664193,3252,15447
200,852311364735569921,9282,31468
201,852226086759018497,6377,18973
202,852189679701164033,1481,10922
203,851861385021730816,19,0
204,851591660324737024,3256,15495
205,851464819735769094,6610,23086
206,851224888060895234,5395,19709
207,850753642995093505,8489,29263
208,850380195714523136,2437,12506
209,850333567704068097,308,3297
210,850145622816686080,3550,15563
211,850019790995546112,4571,19472
212,849776966551130114,7133,28995
213,849668094696017920,4663,0
214,849412302885593088,2960,15180
215,849336543269576704,1773,10913
216,849051919805034497,7963,40466
217,848690551926992896,4081,24121
218,848324959059550208,4357,23671
219,848213670039564288,675,7820
220,848212111729840128,2842,15619
221,847978865427394560,3070,0
222,847971574464610304,416,0
223,847962785489326080,4798,22531
224,847842811428974592,1243,5192
225,847617282490613760,389,6695
226,847606175596138505,3238,17997
227,847251039262605312,4091,19665
228,847157206088847362,5509,19028
229,847116187444137987,3010,20601
230,846874817362120707,3711,19271
231,846514051647705089,10904,42744
232,846505985330044928,2900,13560
233,846153765933735936,8538,30271
234,846139713627017216,9563,29805
235,846042936437604353,2704,15353
236,845812042753855489,8230,28045
237,845677943972139009,4566,24238
238,845397057150107648,1686,7325
239,845306882940190720,5088,22420
240,845098359547420673,7249,0
241,844979544864018432,2415,13128
242,844973813909606400,2995,14451
243,844580511645339650,2946,15830
